,Date,Location,Result,belligerent,own,opp,taken,inflicted,Battle,pos
0,15 August – 14 September 1944,"Southern France, Côte d'Azur
43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167Coordinates: 43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167",Allied victory,Jacob L. Devers,"Initial landing
151,000 men[1]
Entire invasion force
576,833 men[2]
French Resistance
75,000 men[3]","Initial landing
85,000–100,000 men[4]
Southern France
285,000–300,000 men[4]","2,050–3,176 killed, captured or missing
~7,750 other casualties
 more than 10,000 casualties[5][6]
Total: ~21,000","7,000 killed
~21,000 wounded
131,250 captured[6][7][8]
Total: ~159,000",Operation_Dragoon,L
1,15 August – 14 September 1944,"Southern France, Côte d'Azur
43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167Coordinates: 43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167",Allied victory,Henry Kent Hewitt,"Initial landing
151,000 men[1]
Entire invasion force
576,833 men[2]
French Resistance
75,000 men[3]","Initial landing
85,000–100,000 men[4]
Southern France
285,000–300,000 men[4]","2,050–3,176 killed, captured or missing
~7,750 other casualties
 more than 10,000 casualties[5][6]
Total: ~21,000","7,000 killed
~21,000 wounded
131,250 captured[6][7][8]
Total: ~159,000",Operation_Dragoon,L
2,15 August – 14 September 1944,"Southern France, Côte d'Azur
43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167Coordinates: 43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167",Allied victory,Alexander Patch,"Initial landing
151,000 men[1]
Entire invasion force
576,833 men[2]
French Resistance
75,000 men[3]","Initial landing
85,000–100,000 men[4]
Southern France
285,000–300,000 men[4]","2,050–3,176 killed, captured or missing
~7,750 other casualties
 more than 10,000 casualties[5][6]
Total: ~21,000","7,000 killed
~21,000 wounded
131,250 captured[6][7][8]
Total: ~159,000",Operation_Dragoon,L
3,15 August – 14 September 1944,"Southern France, Côte d'Azur
43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167Coordinates: 43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167",Allied victory,Lucian Truscott,"Initial landing
151,000 men[1]
Entire invasion force
576,833 men[2]
French Resistance
75,000 men[3]","Initial landing
85,000–100,000 men[4]
Southern France
285,000–300,000 men[4]","2,050–3,176 killed, captured or missing
~7,750 other casualties
 more than 10,000 casualties[5][6]
Total: ~21,000","7,000 killed
~21,000 wounded
131,250 captured[6][7][8]
Total: ~159,000",Operation_Dragoon,L
4,15 August – 14 September 1944,"Southern France, Côte d'Azur
43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167Coordinates: 43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167",Allied victory,Jean de Lattre de Tassigny,"Initial landing
151,000 men[1]
Entire invasion force
576,833 men[2]
French Resistance
75,000 men[3]","Initial landing
85,000–100,000 men[4]
Southern France
285,000–300,000 men[4]","2,050–3,176 killed, captured or missing
~7,750 other casualties
 more than 10,000 casualties[5][6]
Total: ~21,000","7,000 killed
~21,000 wounded
131,250 captured[6][7][8]
Total: ~159,000",Operation_Dragoon,L
5,15 August – 14 September 1944,"Southern France, Côte d'Azur
43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167Coordinates: 43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167",Allied victory,John K. Cannon,"Initial landing
151,000 men[1]
Entire invasion force
576,833 men[2]
French Resistance
75,000 men[3]","Initial landing
85,000–100,000 men[4]
Southern France
285,000–300,000 men[4]","2,050–3,176 killed, captured or missing
~7,750 other casualties
 more than 10,000 casualties[5][6]
Total: ~21,000","7,000 killed
~21,000 wounded
131,250 captured[6][7][8]
Total: ~159,000",Operation_Dragoon,L
6,15 August – 14 September 1944,"Southern France, Côte d'Azur
43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167Coordinates: 43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167",Allied victory,Johannes Blaskowitz,"Initial landing
85,000–100,000 men[4]
Southern France
285,000–300,000 men[4]","Initial landing
151,000 men[1]
Entire invasion force
576,833 men[2]
French Resistance
75,000 men[3]","7,000 killed
~21,000 wounded
131,250 captured[6][7][8]
Total: ~159,000","2,050–3,176 killed, captured or missing
~7,750 other casualties
 more than 10,000 casualties[5][6]
Total: ~21,000",Operation_Dragoon,R
7,15 August – 14 September 1944,"Southern France, Côte d'Azur
43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167Coordinates: 43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167",Allied victory,Friedrich Wiese,"Initial landing
85,000–100,000 men[4]
Southern France
285,000–300,000 men[4]","Initial landing
151,000 men[1]
Entire invasion force
576,833 men[2]
French Resistance
75,000 men[3]","7,000 killed
~21,000 wounded
131,250 captured[6][7][8]
Total: ~159,000","2,050–3,176 killed, captured or missing
~7,750 other casualties
 more than 10,000 casualties[5][6]
Total: ~21,000",Operation_Dragoon,R
8,15 August – 14 September 1944,"Southern France, Côte d'Azur
43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167Coordinates: 43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167",Allied victory,Wend von Wietersheim,"Initial landing
85,000–100,000 men[4]
Southern France
285,000–300,000 men[4]","Initial landing
151,000 men[1]
Entire invasion force
576,833 men[2]
French Resistance
75,000 men[3]","7,000 killed
~21,000 wounded
131,250 captured[6][7][8]
Total: ~159,000","2,050–3,176 killed, captured or missing
~7,750 other casualties
 more than 10,000 casualties[5][6]
Total: ~21,000",Operation_Dragoon,R
9,15 August – 14 September 1944,"Southern France, Côte d'Azur
43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167Coordinates: 43°13′37.5″N 6°39′42″E﻿ / ﻿43.227083°N 6.66167°E﻿ / 43.227083; 6.66167",Allied victory,Kurt von der Chevallerie,"Initial landing
85,000–100,000 men[4]
Southern France
285,000–300,000 men[4]","Initial landing
151,000 men[1]
Entire invasion force
576,833 men[2]
French Resistance
75,000 men[3]","7,000 killed
~21,000 wounded
131,250 captured[6][7][8]
Total: ~159,000","2,050–3,176 killed, captured or missing
~7,750 other casualties
 more than 10,000 casualties[5][6]
Total: ~21,000",Operation_Dragoon,R
